split,game_id,game_date,team_blue,team_red,winning_team,top_blue,jgl_blue,mid_blue,adc_blue,sup_blue,top_red,jgl_red,mid_red,adc_red,sup_red
LEC 2025 Summer Playoffs,71841,2025-09-05,Team Heretics,Team Vitality,Team Heretics,Sion,Nocturne,Orianna,Aphelios,Thresh,Rumble,Xin Zhao,Galio,Xayah,Rakan
LEC 2025 Summer Playoffs,72643,2025-09-28,Movistar KOI,G2 Esports,G2 Esports,KSante,Xin Zhao,Orianna,Zeri,Rell,RekSai,Jarvan IV,Galio,Sivir,Alistar
LEC 2025 Summer Playoffs,72644,2025-09-28,Movistar KOI,G2 Esports,G2 Esports,Yorick,Skarner,Azir,Kaisa,Neeko,Sett,Volibear,Taliyah,Caitlyn,Karma
LEC 2025 Summer Playoffs,72634,2025-09-27,Fnatic,Movistar KOI,Fnatic,Ornn,Nocturne,Orianna,Xayah,Rakan,Rumble,Wukong,Yone,Corki,Rell
LEC 2025 Summer Playoffs,72635,2025-09-27,Movistar KOI,Fnatic,Movistar KOI,KSante,Jarvan IV,Ziggs,Zeri,Nautilus,Yorick,Xin Zhao,Viktor,Lucian,Braum
LEC 2025 Summer Playoffs,72636,2025-09-27,Fnatic,Movistar KOI,Movistar KOI,Trundle,Poppy,Hwei,Varus,Leona,Sion,Naafiri,Ryze,Ezreal,Maokai
LEC 2025 Summer Playoffs,72492,2025-09-26,Karmine Corp,Fnatic,Fnatic,Rumble,Jarvan IV,Yone,Ezreal,Leona,Sion,Vi,Taliyah,Zeri,Taric
LEC 2025 Summer Playoffs,72493,2025-09-26,Karmine Corp,Fnatic,Karmine Corp,Jax,Maokai,Viktor,Sivir,Nautilus,Gragas,Naafiri,Twisted Fate,Corki,Rell
LEC 2025 Summer Playoffs,72494,2025-09-26,Fnatic,Karmine Corp,Fnatic,Gwen,Poppy,Aurora,Yunara,Renata Glasc,Aatrox,Ivern,Ryze,Xayah,Rakan
LEC 2025 Summer Playoffs,72363,2025-09-15,GIANTX,Fnatic,Fnatic,Yorick,Sejuani,Orianna,Corki,Braum,Chogath,Wukong,Galio,Kaisa,Pyke
LEC 2025 Summer Playoffs,72364,2025-09-15,GIANTX,Fnatic,Fnatic,Ambessa,Nidalee,Sion,Sivir,Alistar,RekSai,Jarvan IV,Ryze,Vayne,Nautilus
LEC 2025 Summer Playoffs,72368,2025-09-14,Movistar KOI,G2 Esports,G2 Esports,Yorick,Pantheon,Galio,Kaisa,Rakan,Renekton,Trundle,Orianna,Corki,Alistar
LEC 2025 Summer Playoffs,72369,2025-09-14,Movistar KOI,G2 Esports,Movistar KOI,Gwen,Jarvan IV,Ryze,Ezreal,Bard,Jax,Volibear,Annie,Xayah,Neeko
LEC 2025 Summer Playoffs,72370,2025-09-14,G2 Esports,Movistar KOI,G2 Esports,KSante,Zyra,Tristana,Yunara,Renata Glasc,Gnar,Vi,Ziggs,Jinx,Nautilus
LEC 2025 Summer Playoffs,72358,2025-09-13,Karmine Corp,Team Vitality,Karmine Corp,Ambessa,Wukong,Orianna,Corki,Bard,Aatrox,Vi,Galio,Kaisa,Rell
LEC 2025 Summer Playoffs,72359,2025-09-13,Team Vitality,Karmine Corp,Karmine Corp,Yorick,Zed,Ryze,Sivir,Lulu,Chogath,Jarvan IV,Viktor,Ezreal,Braum
LEC 2025 Summer Playoffs,72360,2025-09-13,Team Vitality,Karmine Corp,Karmine Corp,Jayce,Sejuani,Zoe,Jhin,Tahm Kench,KSante,Xin Zhao,Aurora,Aphelios,Thresh
LEC 2025 Summer Playoffs,71857,2025-09-08,Movistar KOI,Fnatic,Movistar KOI,Akali,Pantheon,Yone,Tristana,Alistar,Gwen,Vi,Corki,Kaisa,Neeko
LEC 2025 Summer Playoffs,71858,2025-09-08,Fnatic,Movistar KOI,Movistar KOI,KSante,Jarvan IV,Annie,Ezreal,Poppy,Yorick,Nocturne,Ryze,Aphelios,Braum
LEC 2025 Summer Playoffs,71859,2025-09-08,Fnatic,Movistar KOI,Fnatic,Sion,Ivern,Viktor,Twitch,Nautilus,RekSai,Qiyana,Taliyah,Jinx,Leona
LEC 2025 Summer Playoffs,71860,2025-09-08,Movistar KOI,Fnatic,Movistar KOI,Ambessa,Sejuani,Ziggs,Zeri,Bard,Renekton,Trundle,LeBlanc,Smolder,Maokai
LEC 2025 Summer Playoffs,71852,2025-09-07,Karmine Corp,G2 Esports,G2 Esports,Aurora,Wukong,Akali,Zeri,Rakan,KSante,Xin Zhao,Viktor,Sivir,Alistar
LEC 2025 Summer Playoffs,71853,2025-09-07,Karmine Corp,G2 Esports,G2 Esports,Gnar,Pantheon,Galio,Lucian,Nami,Yorick,Jarvan IV,Ryze,Ezreal,Karma
LEC 2025 Summer Playoffs,71854,2025-09-07,G2 Esports,Karmine Corp,G2 Esports,Sion,Volibear,Ziggs,Yunara,Braum,Jayce,Sejuani,Azir,Jhin,Maokai
LEC 2025 Summer Playoffs,71847,2025-09-06,Team BDS,GIANTX,GIANTX,Aurora,Jax,Viktor,Yunara,Braum,KSante,Xin Zhao,Annie,Corki,Rell
LEC 2025 Summer Playoffs,71848,2025-09-06,GIANTX,Team BDS,GIANTX,Gnar,Maokai,Yone,Varus,Alistar,Aatrox,Pantheon,Taliyah,Jhin,Gragas
LEC 2025 Summer Playoffs,71842,2025-09-05,Team Vitality,Team Heretics,Team Vitality,Ambessa,Vi,Ryze,Kaisa,Alistar,KSante,Brand,Jayce,Corki,Rell
LEC 2025 Summer Playoffs,71843,2025-09-05,Team Heretics,Team Vitality,Team Vitality,Yorick,Wukong,Azir,Sivir,Braum,Aatrox,Pantheon,Taliyah,Jinx,Neeko
LEC 2025 Summer Playoffs,71844,2025-09-05,Team Heretics,Team Vitality,Team Vitality,Jax,Jarvan IV,Tristana,Ziggs,Leona,Dr. Mundo,Sejuani,Hwei,Varus,Pyke
