split,game_id,game_date,team_blue,team_red,winning_team,game_time,gold_diff,gold_diff_at14
LEC Spring Playoffs 2023,48937,2023-04-21,Movistar KOI,G2 Esports,Movistar KOI,1960,8500,4990
LEC Spring Playoffs 2023,48938,2023-04-21,G2 Esports,Movistar KOI,Movistar KOI,1533,-10000,3035
LEC Spring Playoffs 2023,48939,2023-04-21,G2 Esports,Movistar KOI,G2 Esports,1841,14000,2093
LEC Spring Playoffs 2023,48940,2023-04-21,Movistar KOI,G2 Esports,Movistar KOI,1635,7500,-1418
LEC Spring Playoffs 2023,48934,2023-04-17,Team Vitality,Team BDS,Team BDS,1994,-10400,-1069
LEC Spring Playoffs 2023,48935,2023-04-17,Team BDS,Team Vitality,Team BDS,2114,3000,-3093
LEC Summer 2023,50767,2023-07-03,SK Gaming,Fnatic,SK Gaming,1863,6600,-418
LEC Summer 2023,50766,2023-07-03,Team Heretics,G2 Esports,G2 Esports,2098,-7800,-987
LEC Summer 2023,50765,2023-07-03,Movistar KOI,Astralis,Movistar KOI,1714,13600,2040
LEC Summer 2023,50764,2023-07-03,Team Vitality,GIANTX,GIANTX,1705,-10500,-376
LEC Summer 2023,50763,2023-07-03,Team BDS,Movistar KOI,Team BDS,1762,10800,1821
LEC Summer 2023,50762,2023-07-02,SK Gaming,Movistar KOI,SK Gaming,1808,12600,-105
LEC Summer 2023,50761,2023-07-02,Team BDS,Team Vitality,Team BDS,2036,-1900,-1918
LEC Summer 2023,50760,2023-07-02,Team Heretics,Fnatic,Fnatic,2016,-9200,-4795
LEC Summer 2023,50759,2023-07-02,G2 Esports,Movistar KOI,G2 Esports,1704,9700,1104
LEC Summer 2023,50758,2023-07-02,GIANTX,Astralis,GIANTX,1804,2600,-1403
LEC Summer 2023,50757,2023-07-01,Movistar KOI,Team Heretics,Team Heretics,1624,-12300,-842
LEC Summer 2023,50756,2023-07-01,Fnatic,Team BDS,Fnatic,2576,3100,1463
LEC Summer 2023,50755,2023-07-01,GIANTX,G2 Esports,G2 Esports,1705,-16300,-4508
LEC Summer 2023,50754,2023-07-01,Team Vitality,Movistar KOI,KOI,1962,-9200,-1413
LEC Summer 2023,50753,2023-07-01,Astralis,SK Gaming,Astralis,2059,11400,227
LEC Summer 2023,50351,2023-06-26,Fnatic,Team Vitality,Fnatic,1929,12000,3485
LEC Summer 2023,50350,2023-06-26,Movistar KOI,SK Gaming,SK Gaming,2115,-5700,407
LEC Summer 2023,50349,2023-06-26,G2 Esports,Astralis,G2 Esports,1662,8700,-713
LEC Summer 2023,50348,2023-06-26,Movistar KOI,GIANTX,GIANTX,2309,-300,2226
LEC Summer 2023,50347,2023-06-26,Team BDS,Team Heretics,Team Heretics,1960,-11100,-1534
LEC Summer 2023,50346,2023-06-25,Movistar KOI,Fnatic,Fnatic,1703,-14300,-96
LEC Summer 2023,50345,2023-06-25,G2 Esports,SK Gaming,G2 Esports,2015,1800,-1541
LEC Summer 2023,50344,2023-06-25,Team Heretics,Movistar KOI,KOI,2269,-9100,-1024
LEC Summer 2023,50343,2023-06-25,Astralis,Team Vitality,Astralis,2069,4500,-392
LEC Summer 2023,50342,2023-06-25,GIANTX,Team BDS,GIANTX,2290,7500,35
LEC Summer 2023,50341,2023-06-24,Astralis,Movistar KOI,Movistar KOI,1610,-10300,-254
LEC Summer 2023,50340,2023-06-24,Team Vitality,G2 Esports,G2 Esports,1567,-12000,-1885
LEC Summer 2023,50339,2023-06-24,Movistar KOI,Fnatic,Fnatic,1769,-14000,-1028
LEC Summer 2023,50338,2023-06-24,GIANTX,Team Heretics,GIANTX,1807,9700,2024
LEC Summer 2023,50337,2023-06-24,SK Gaming,Team BDS,Team BDS,1585,-10500,596
LEC Summer 2023,49939,2023-06-19,Team Heretics,Team Vitality,Team Heretics,1982,-1400,1372
LEC Summer 2023,49938,2023-06-19,G2 Esports,Fnatic,G2 Esports,1886,9400,2465
LEC Summer 2023,49937,2023-06-19,Movistar KOI,Movistar KOI,Movistar KOI,2419,2600,-1219
LEC Summer 2023,49936,2023-06-19,Team BDS,Astralis,Astralis,1537,-12700,-3948
LEC Summer 2023,49935,2023-06-19,GIANTX,SK Gaming,SK Gaming,2241,2700,-1046
LEC Summer 2023,49934,2023-06-18,Astralis,Team Heretics,Team Heretics,1783,-9400,574
LEC Summer 2023,49933,2023-06-18,Team BDS,Movistar KOI,Team BDS,1777,11000,-573
LEC Summer 2023,49932,2023-06-18,Movistar KOI,G2 Esports,Movistar KOI,2409,6400,-1093
LEC Summer 2023,49931,2023-06-18,Fnatic,GIANTX,Fnatic,1977,8400,-390
LEC Summer 2023,49930,2023-06-18,Team Vitality,SK Gaming,Team Vitality,1854,10800,1750
LEC Summer 2023,49929,2023-06-17,Fnatic,Astralis,Fnatic,1553,14500,1796
LEC Summer 2023,49928,2023-06-17,G2 Esports,Team BDS,G2 Esports,1907,18600,3218
LEC Summer 2023,49927,2023-06-17,Movistar KOI,GIANTX,Movistar KOI,2118,2900,2129
LEC Summer 2023,49926,2023-06-17,SK Gaming,Team Heretics,Team Heretics,2262,-5100,-3182
LEC Summer 2023,49925,2023-06-17,Team Vitality,Movistar KOI,Movistar KOI,1796,-10100,-809
LEC Summer Groups 2023,52269,2023-07-23,Team Heretics,Team BDS,Team Heretics,2319,6100,-3453
LEC Summer Groups 2023,52266,2023-07-23,Fnatic,SK Gaming,Fnatic,1600,11500,961
LEC Summer Groups 2023,51945,2023-07-22,Team Heretics,Movistar KOI,Team Heretics,2494,8200,-2136
LEC Summer Groups 2023,51942,2023-07-22,Fnatic,Movistar KOI,Fnatic,1803,13600,2673
LEC Summer Groups 2023,51939,2023-07-17,G2 Esports,Team BDS,G2 Esports,1707,11800,4001
LEC Summer Groups 2023,51936,2023-07-17,GIANTX,SK Gaming,GIANTX,2075,6800,-766
LEC Summer Groups 2023,51176,2023-07-16,G2 Esports,Movistar KOI,G2 Esports,1924,8600,-864
