role,tier,champion,opponent,winrate
support,master_plus,Nautilus,Soraka,57.78
support,master_plus,Nautilus,Thresh,43.81
support,master_plus,Nautilus,Vel'Koz,50.0
support,master_plus,Nautilus,Yuumi,58.33
support,master_plus,Nautilus,Zilean,45.24
support,master_plus,Neeko,Alistar,49.33
support,master_plus,Neeko,Bard,49.26
support,master_plus,Neeko,Blitzcrank,53.13
support,master_plus,Neeko,Braum,50.91
support,master_plus,Neeko,Janna,30.0
support,master_plus,Neeko,Karma,48.95
support,master_plus,Neeko,Leona,49.09
support,master_plus,Neeko,Lulu,59.57
support,master_plus,Neeko,Milio,46.88
support,master_plus,Neeko,Nami,47.22
support,master_plus,Neeko,Nautilus,55.95
support,master_plus,Neeko,Others,50.0
support,master_plus,Neeko,Poppy,37.5
support,master_plus,Neeko,Pyke,46.94
support,master_plus,Neeko,Rakan,63.89
support,master_plus,Neeko,Rell,42.22
support,master_plus,Neeko,Seraphine,40.63
support,master_plus,Neeko,Soraka,52.17
support,master_plus,Neeko,Thresh,48.89
support,master_plus,Neeko,Zilean,46.88
support,master_plus,Nidalee,Others,50.0
support,master_plus,Pantheon,Bard,51.35
support,master_plus,Pantheon,Braum,40.0
support,master_plus,Pantheon,Karma,42.86
support,master_plus,Pantheon,Lulu,35.14
support,master_plus,Pantheon,Nami,40.48
support,master_plus,Pantheon,Nautilus,42.42
support,master_plus,Pantheon,Others,50.0
support,master_plus,Pantheon,Pyke,65.0
support,master_plus,Pantheon,Rakan,54.84
support,master_plus,Pantheon,Thresh,48.98
support,master_plus,Poppy,Alistar,52.86
support,master_plus,Poppy,Bard,63.64
support,master_plus,Poppy,Braum,48.98
support,master_plus,Poppy,Karma,49.15
support,master_plus,Poppy,Leona,54.55
support,master_plus,Poppy,Lulu,50.0
support,master_plus,Poppy,Milio,43.75
support,master_plus,Poppy,Nami,55.1
support,master_plus,Poppy,Nautilus,52.94
support,master_plus,Poppy,Neeko,62.5
support,master_plus,Poppy,Others,50.0
support,master_plus,Poppy,Pyke,57.97
support,master_plus,Poppy,Rakan,46.59
support,master_plus,Poppy,Rell,45.74
support,master_plus,Poppy,Thresh,53.75
support,master_plus,Pyke,Alistar,50.0
support,master_plus,Pyke,Bard,54.72
support,master_plus,Pyke,Blitzcrank,56.9
support,master_plus,Pyke,Braum,52.08
support,master_plus,Pyke,Elise,42.59
support,master_plus,Pyke,Janna,42.86
support,master_plus,Pyke,Karma,43.65
support,master_plus,Pyke,Leona,46.74
support,master_plus,Pyke,Lulu,50.88
support,master_plus,Pyke,Mel,50.0
support,master_plus,Pyke,Milio,60.4
support,master_plus,Pyke,Morgana,48.39
support,master_plus,Pyke,Nami,50.0
support,master_plus,Pyke,Nautilus,46.94
support,master_plus,Pyke,Neeko,52.94
support,master_plus,Pyke,Others,50.0
support,master_plus,Pyke,Pantheon,35.0
support,master_plus,Pyke,Poppy,42.03
support,master_plus,Pyke,Rakan,45.39
support,master_plus,Pyke,Rell,42.68
support,master_plus,Pyke,Senna,50.0
support,master_plus,Pyke,Sona,55.26
support,master_plus,Pyke,Soraka,49.28
support,master_plus,Pyke,Thresh,51.68
support,master_plus,Pyke,Yuumi,57.14
support,master_plus,Rakan,Alistar,52.11
support,master_plus,Rakan,Bard,44.26
support,master_plus,Rakan,Blitzcrank,54.76
support,master_plus,Rakan,Braum,55.38
support,master_plus,Rakan,Elise,58.33
support,master_plus,Rakan,Janna,57.14
support,master_plus,Rakan,Karma,41.72
support,master_plus,Rakan,Leona,46.67
support,master_plus,Rakan,Lulu,50.38
support,master_plus,Rakan,Milio,50.0
support,master_plus,Rakan,Morgana,40.54
support,master_plus,Rakan,Nami,45.19
support,master_plus,Rakan,Nautilus,50.81
support,master_plus,Rakan,Neeko,36.11
support,master_plus,Rakan,Others,50.0
support,master_plus,Rakan,Pantheon,45.16
support,master_plus,Rakan,Poppy,53.41
support,master_plus,Rakan,Pyke,54.97
support,master_plus,Rakan,Rell,40.95
support,master_plus,Rakan,Senna,56.76
support,master_plus,Rakan,Seraphine,40.48
support,master_plus,Rakan,Sona,47.22
support,master_plus,Rakan,Soraka,42.86
support,master_plus,Rakan,Taric,37.5
support,master_plus,Rakan,Thresh,47.41
support,master_plus,Rakan,Yuumi,54.05
support,master_plus,Rakan,Zilean,66.67
support,master_plus,Rell,Alistar,51.9
support,master_plus,Rell,Bard,49.62
support,master_plus,Rell,Blitzcrank,51.28
support,master_plus,Rell,Braum,58.33
support,master_plus,Rell,Elise,46.51
support,master_plus,Rell,Janna,43.59
support,master_plus,Rell,Karma,58.47
support,master_plus,Rell,Leona,50.0
support,master_plus,Rell,Lulu,58.73
support,master_plus,Rell,Milio,58.54
support,master_plus,Rell,Morgana,60.61
support,master_plus,Rell,Nami,55.46
support,master_plus,Rell,Nautilus,59.66
support,master_plus,Rell,Neeko,55.32
support,master_plus,Rell,Others,50.0
support,master_plus,Rell,Poppy,53.68
support,master_plus,Rell,Pyke,57.32
support,master_plus,Rell,Rakan,59.05
support,master_plus,Rell,Senna,46.0
support,master_plus,Rell,Seraphine,46.34
support,master_plus,Rell,Sona,46.15
support,master_plus,Rell,Soraka,62.22
support,master_plus,Rell,Thresh,47.97
support,master_plus,Renata Glasc,Lulu,58.82
support,master_plus,Renata Glasc,Nami,31.25
support,master_plus,Renata Glasc,Others,50.0
support,master_plus,Senna,Alistar,55.26
support,master_plus,Senna,Bard,53.54
support,master_plus,Senna,Blitzcrank,46.67
support,master_plus,Senna,Braum,57.58
support,master_plus,Senna,Janna,46.0
support,master_plus,Senna,Karma,50.0
support,master_plus,Senna,Leona,57.14
support,master_plus,Senna,Lulu,57.69
support,master_plus,Senna,Milio,52.05
support,master_plus,Senna,Nami,55.91
support,master_plus,Senna,Nautilus,56.52
support,master_plus,Senna,Others,50.0
support,master_plus,Senna,Pyke,48.39
support,master_plus,Senna,Rakan,43.24
support,master_plus,Senna,Rell,53.06
support,master_plus,Senna,Sona,41.67
support,master_plus,Senna,Soraka,45.65
support,master_plus,Senna,Thresh,42.42
support,master_plus,Seraphine,Alistar,62.79
support,master_plus,Seraphine,Bard,57.89
support,master_plus,Seraphine,Blitzcrank,45.16
support,master_plus,Seraphine,Braum,72.97
support,master_plus,Seraphine,Janna,48.39
support,master_plus,Seraphine,Karma,46.51
support,master_plus,Seraphine,Leona,53.13
support,master_plus,Seraphine,Lulu,59.7
support,master_plus,Seraphine,Milio,44.9
support,master_plus,Seraphine,Nami,49.37
support,master_plus,Seraphine,Nautilus,47.76
support,master_plus,Seraphine,Neeko,59.38
support,master_plus,Seraphine,Others,50.0
support,master_plus,Seraphine,Rakan,58.14
support,master_plus,Seraphine,Rell,53.66
support,master_plus,Seraphine,Thresh,32.56
support,master_plus,Shaco,Others,50.0
support,master_plus,Sona,Alistar,58.14
support,master_plus,Sona,Bard,50.94
support,master_plus,Sona,Blitzcrank,51.22
support,master_plus,Sona,Braum,51.52
support,master_plus,Sona,Janna,47.76
support,master_plus,Sona,Karma,50.82
support,master_plus,Sona,Leona,55.0
support,master_plus,Sona,Lulu,57.58
support,master_plus,Sona,Milio,47.37
support,master_plus,Sona,Nami,46.2
support,master_plus,Sona,Nautilus,53.47
support,master_plus,Sona,Others,50.0
support,master_plus,Sona,Pyke,44.74
support,master_plus,Sona,Rakan,54.05
support,master_plus,Sona,Rell,53.85
support,master_plus,Sona,Senna,58.33
support,master_plus,Sona,Soraka,55.38
support,master_plus,Sona,Thresh,54.29
support,master_plus,Soraka,Alistar,65.38
support,master_plus,Soraka,Bard,50.0
support,master_plus,Soraka,Blitzcrank,40.74
support,master_plus,Soraka,Braum,46.34
support,master_plus,Soraka,Janna,36.96
support,master_plus,Soraka,Karma,50.38
support,master_plus,Soraka,Leona,42.86
support,master_plus,Soraka,Lulu,59.02
support,master_plus,Soraka,Milio,47.62
support,master_plus,Soraka,Nami,34.57
support,master_plus,Soraka,Nautilus,41.76
support,master_plus,Soraka,Neeko,47.83
support,master_plus,Soraka,Others,50.0
support,master_plus,Soraka,Pyke,50.72
support,master_plus,Soraka,Rakan,56.9
support,master_plus,Soraka,Rell,37.78
support,master_plus,Soraka,Senna,53.06
support,master_plus,Soraka,Sona,44.62
support,master_plus,Soraka,Thresh,50.52
support,master_plus,Soraka,Yuumi,50.0
support,master_plus,Swain,Others,50.0
support,master_plus,Swain,Thresh,48.48
support,master_plus,Tahm Kench,Others,50.0
support,master_plus,Taric,Alistar,61.11
support,master_plus,Taric,Bard,48.72
support,master_plus,Taric,Karma,40.0
